trace_name,split,label
CCRT.ET_20080522144132_EV,train,earthquake
SHP.NN_20040303052252_EV,train,earthquake
KAN11.GS_20150224043205_EV,train,earthquake
KAN09.GS_20150412074733_EV,train,earthquake
KNK.AK_20170116035619_EV,train,earthquake
GDXB.NC_20110726201005_EV,train,earthquake
B049.PB_20101027200442_EV,train,earthquake
IMP.CI_20151209110245_EV,train,earthquake
MLOD.HV_20180706055524_EV,train,earthquake
HIN.AK_20120725171201_EV,train,earthquake
SVW2.AT_20130903234102_EV,train,earthquake
GDXB.NC_20110604180022_EV,train,earthquake
COLR.NN_20151229144011_EV,train,earthquake
WAT7.AK_20161218174508_EV,train,earthquake
GDXB.NC_20110830074307_EV,train,earthquake
LHV.NN_20161220121054_EV,train,earthquake
G24K.TA_20170704180544_EV,train,earthquake
SSN.AK_20171011000019_EV,train,earthquake
B086.PB_20150603060617_EV,train,earthquake
GDXB.NC_20110611035451_EV,train,earthquake
STLK.AV_20180110085720_EV,train,earthquake
MKAR.KZ_20030224233421_EV,train,earthquake
B082.PB_20140915211133_EV,train,earthquake
GDXB.NC_20180426192250_EV,train,earthquake
IP03.YC_20111025053820_EV,train,earthquake
LCG.CI_20180403041938_EV,train,earthquake
UNV.AK_20160228210817_EV,train,earthquake
YHB.WY_20131019000606_EV,train,earthquake
RC01.AK_20170113121839_EV,train,earthquake
N25K.TA_20170725215002_EV,train,earthquake
M20K.TA_20171027163317_EV,train,earthquake
PIO.NN_20180721172132_EV,train,earthquake
CWC.CI_20111124052233_EV,train,earthquake
VA03.C1_20141106214605_EV,train,earthquake
PIN.AK_20180303063237_EV,train,earthquake
B075.PB_20170511132151_EV,train,earthquake
B082.PB_20130913022407_EV,train,earthquake
POKR.TA_20171029062748_EV,train,earthquake
MPK.NN_20170628131957_EV,train,earthquake
CAST.AK_20171208043908_EV,train,earthquake
SPDD.HV_20160801234643_EV,train,earthquake
MPU.UU_20170102201051_EV,train,earthquake
B084.PB_20130325174606_EV,train,earthquake
CRY.AZ_20160425033501_EV,train,earthquake
B921.PB_20111019195006_EV,train,earthquake
N13A.TA_20080506074350_EV,train,earthquake
PAH.NN_20120628002853_EV,train,earthquake
BRSE.AK_20170112054710_EV,train,earthquake
SSN.AK_20170412221013_EV,train,earthquake
B918.PB_20151017232510_EV,train,earthquake
AAM2.ZQ_20070207120000_EV,train,earthquake
B084.PB_20150708182455_EV,train,earthquake
SCM.AK_20161217131246_EV,train,earthquake
DIV.AK_20170109132226_EV,train,earthquake
TAFP.AV_20170510174050_EV,train,earthquake
B065.PB_20160625223255_EV,train,earthquake
B084.PB_20131217065543_EV,train,earthquake
SAW.AK_20120520225050_EV,train,earthquake
LYP.CI_20170423175525_EV,train,earthquake
D05A.TA_20070905152552_EV,train,earthquake
OMMB.NN_20141117115554_EV,train,earthquake
STCD.HV_20151228050439_EV,train,earthquake
RDM.AZ_20131015073322_EV,train,earthquake
TRF.AK_20120125051352_EV,train,earthquake
B006.PB_20130727232403_EV,train,earthquake
KIV.II_20001114055016_EV,train,earthquake
B087.PB_20080812014519_EV,train,earthquake
HUMO.BK_20150407145514_EV,train,earthquake
HORT.HT_20130727031716_EV,train,earthquake
B081.PB_20130923094959_EV,train,earthquake
GRIN.AK_20180503055551_EV,train,earthquake
MTTG.IV_20090205145017_EV,train,earthquake
SPCN.AV_20180310054658_EV,train,earthquake
B082.PB_20140108085618_EV,train,earthquake
WAK.NN_20170721194012_EV,train,earthquake
GDXB.NC_20151205081029_EV,train,earthquake
CROK.OK_20150417083721_EV,train,earthquake
M20K.TA_20170702194501_EV,train,earthquake
GMA.CI_20180508122010_EV,train,earthquake
GC02.OK_20150405053745_EV,train,earthquake
SPCG.AV_20111106105943_EV,train,earthquake
B082.PB_20110807000101_EV,train,earthquake
GDXB.NC_20140511032238_EV,train,earthquake
CCOB.NC_20120715132335_EV,train,earthquake
B082.PB_20151117201322_EV,train,earthquake
G31M.TA_20180531191225_EV,train,earthquake
B087.PB_20130604212438_EV,train,earthquake
N20K.TA_20180109141528_EV,train,earthquake
B082.PB_20171226034117_EV,train,earthquake
BARN.AK_20170921172514_EV,train,earthquake
NIKH.AK_20110914050512_EV,train,earthquake
BHU.UU_20160303082240_EV,train,earthquake
SAO.BK_20121013123643_EV,train,earthquake
SCZ.BK_20160119033655_EV,train,earthquake
GHO.AK_20120414160925_EV,train,earthquake
GHO.AK_20180616052921_EV,train,earthquake
COLR.NN_20150930084819_EV,train,earthquake
GDXB.NC_20170607221743_EV,train,earthquake
B916.PB_20121111065212_EV,train,earthquake
CUT.AK_20180711112131_EV,train,earthquake
GDXB.NC_20150110161907_EV,train,earthquake
MWC.CI_20140401183042_EV,train,earthquake
CAST.AK_20120705075550_EV,train,earthquake
B202.PB_20170105180906_EV,train,earthquake
MNRC.BK_20130329075350_EV,train,earthquake
ARCI.YI_20060526002649_EV,train,earthquake
SAW.AK_20120422104349_EV,train,earthquake
R18K.TA_20171214021231_EV,train,earthquake
JRC2.CI_20130225165611_EV,train,earthquake
B207.PB_20141105045145_EV,train,earthquake
B084.PB_20150611182608_EV,train,earthquake
GHO.AK_20180208172947_EV,train,earthquake
B075.PB_20170721115200_EV,train,earthquake
B086.PB_20180226213443_EV,train,earthquake
GDXB.NC_20130612234640_EV,train,earthquake
CHUM.AK_20121230171828_EV,train,earthquake
GDXB.NC_20130526073806_EV,train,earthquake
RYN.NN_20170102151140_EV,train,earthquake
STLK.AV_20180420205721_EV,train,earthquake
BRPU.UU_20170407030223_EV,train,earthquake
PALM.CC_20160916055404_EV,train,earthquake
MLY.AK_20120601113858_EV,train,earthquake
B045.PB_20130815072854_EV,train,earthquake
PNT.NN_20140623054853_EV,train,earthquake
RDSO.AV_20171127150753_EV,train,earthquake
B081.PB_20140628110601_EV,train,earthquake
AIND.HV_20161029233828_EV,train,earthquake
CRY.AZ_20180730063329_EV,train,earthquake
QUOK.OK_20150110042610_EV,train,earthquake
CELP.PR_20180328221710_EV,train,earthquake
BJOB.NC_20130130152629_EV,train,earthquake
B202.PB_20071106234425_EV,train,earthquake
B918.PB_20111228013041_EV,train,earthquake
KTH.AK_20171121152952_EV,train,earthquake
STC.SN_20140110055109_EV,train,earthquake
BLA.CI_20080525234709_EV,train,earthquake
B082.PB_20140901224050_EV,train,earthquake
PMD.CI_20160714145817_EV,train,earthquake
TRF.AK_20120410174614_EV,train,earthquake
GDXB.NC_20180120040839_EV,train,earthquake
TIM.SN_20140509134143_EV,train,earthquake
GDXB.NC_20110105180239_EV,train,earthquake
B082.PB_20110831041215_EV,train,earthquake
BJOB.NC_20160915110517_EV,train,earthquake
B076.PB_20140621184000_EV,train,earthquake
GDXB.NC_20160329081252_EV,train,earthquake
CCUT.UU_20141110085023_EV,train,earthquake
CCB.AK_20110604042001_EV,train,earthquake
BCRT.ET_20170824191831_EV,train,earthquake
N02C.TA_20071021133612_EV,train,earthquake
SSN.AK_20170828031329_EV,train,earthquake
BOR.CI_20111206002246_EV,train,earthquake
P19K.TA_20180327215912_EV,train,earthquake
GDXB.NC_20101124012001_EV,train,earthquake
CTU.UU_20170219123822_EV,train,earthquake
AAM2.ZQ_20090405040632_EV,train,earthquake
CUT.AK_20171018044336_EV,validation,earthquake
LAKA.HA_20080725055740_EV,validation,earthquake
B076.PB_20140211050114_EV,validation,earthquake
B078.PB_20170704163129_EV,validation,earthquake
D27M.TA_20180812183117_EV,validation,earthquake
SAL.CI_20100526103234_EV,validation,earthquake
OMMB.NN_20150101220220_EV,validation,earthquake
GDXB.NC_20130108173135_EV,validation,earthquake
B093.PB_20130327194814_EV,validation,earthquake
JRC2.CI_20161002052126_EV,validation,earthquake
B047.PB_20140803121118_EV,validation,earthquake
SCZ.BK_20170406060219_EV,validation,earthquake
CACT.NM_20180801090356_EV,validation,earthquake
BAR.CI_20161231212444_EV,validation,earthquake
GDXB.NC_20170414083221_EV,validation,earthquake
BRLK.AK_20120412062345_EV,validation,earthquake
B084.PB_20110710075525_EV,validation,earthquake
KAN10.GS_20141007130554_EV,validation,earthquake
DSP.NN_20171108033119_EV,validation,earthquake
BOR.CI_20140603192858_EV,validation,earthquake
CLES.AV_20150728130012_EV,validation,earthquake
B081.PB_20131223043959_EV,validation,earthquake
AGOR.NI_20111103122147_EV,validation,earthquake
SFX.BC_20150224071858_EV,validation,earthquake
B082.PB_20171002054652_EV,validation,earthquake
TCOL.TA_20150117092455_EV,validation,earthquake
HLPD.HV_20150619201859_EV,validation,earthquake
B087.PB_20110815015954_EV,validation,earthquake
ANGG.DK_20150118040228_EV,validation,earthquake
ERIK.KO_20131019160759_EV,validation,earthquake
KLU.AK_20170916063703_EV,validation,earthquake
ID05.GS_20170916073448_EV,validation,earthquake
DIV.AK_20170823055045_EV,validation,earthquake
RSDD.HV_20160119213857_EV,validation,earthquake
GDXB.NC_20140726204958_EV,validation,earthquake
BJOB.NC_20171208195256_EV,validation,earthquake
B065.PB_20110914211320_EV,validation,earthquake
GDXB.NC_20140618030822_EV,validation,earthquake
B943.PB_20141127172226_EV,validation,earthquake
RDT.AV_20180317210223_EV,validation,earthquake
M22K.TA_20170927140026_EV,validation,earthquake
MNAT.AV_20150223115750_EV,validation,earthquake
AKUT.AT_20140221184730_EV,validation,earthquake
B093.PB_20110506113832_EV,validation,earthquake
WCN.NN_20080428202857_EV,validation,earthquake
PPLA.AK_20171221101315_EV,validation,earthquake
GDXB.NC_20150908214439_EV,validation,earthquake
KNW.AZ_20150906193113_EV,validation,earthquake
B093.PB_20111104230707_EV,validation,earthquake
B087.PB_20171130051809_EV,validation,earthquake
WRH.AK_20180324184558_EV,test,earthquake
B202.PB_20140917015423_EV,test,earthquake
B917.PB_20101207031717_EV,test,earthquake
ARG.HL_20100530173032_EV,test,earthquake
BOR.CI_20130720125300_EV,test,earthquake
SMG.HL_20110927135923_EV,test,earthquake
BAR.CI_20120826172223_EV,test,earthquake
GDXB.NC_20070213033241_EV,test,earthquake
G18K.TA_20180608233015_EV,test,earthquake
B013.PB_20110327193718_EV,test,earthquake
GO02.C_20150303021030_EV,test,earthquake
GDXB.NC_20130228093504_EV,test,earthquake
DESD.HV_20160507045559_EV,test,earthquake
OMMB.NN_20140522042654_EV,test,earthquake
KALE.HA_20140529060023_EV,test,earthquake
B082.PB_20101007220529_EV,test,earthquake
Q17K.TA_20171213031739_EV,test,earthquake
GZU.UU_20141111022540_EV,test,earthquake
B943.PB_20120826230614_EV,test,earthquake
OK032.GS_20160410024404_EV,test,earthquake
B081.PB_20150410021710_EV,test,earthquake
KAN08.GS_20150629194620_EV,test,earthquake
KAN06.GS_20171012064804_EV,test,earthquake
PNL.AK_20140225202456_EV,test,earthquake
TKL.IM_20160725060633_EV,test,earthquake
LHV.NN_20180316021530_EV,test,earthquake
GDXB.NC_20131010092240_EV,test,earthquake
TWP.SN_20160304063203_EV,test,earthquake
B086.PB_20120807013512_EV,test,earthquake
BMN.LB_20160827070616_EV,test,earthquake
B918.PB_20180125025638_EV,test,earthquake
B081.PB_20070630063953_EV,test,earthquake
B084.PB_20130329040917_EV,test,earthquake
B082.PB_20130701075917_EV,test,earthquake
KDJ.KR_20130131200038_EV,test,earthquake
SQM.UW_20020327133231_EV,test,earthquake
MLY.AK_20170204230756_EV,test,earthquake
B081.PB_20130218162213_EV,test,earthquake
GRNC.AK_20150217130744_EV,test,earthquake
B013.PB_20080712082810_EV,test,earthquake
SPCR.AV_20110921172723_EV,test,earthquake
RC01.AK_20120310015915_EV,test,earthquake
B084.PB_20160718194314_EV,test,earthquake
GDXB.NC_20170516162820_EV,test,earthquake
HOM.AK_20120610143455_EV,test,earthquake
GDXB.NC_20120917073203_EV,test,earthquake
BLOW.UW_20120308060849_EV,test,earthquake
AL5S.SN_20060531231246_EV,test,earthquake
NAHU.HV_20170427122630_EV,test,earthquake
B084.PB_20150721103308_EV,test,earthquake
BBGB.NC_20180605020610_EV,test,earthquake
DRE.CI_20080222093254_EV,test,earthquake
KAN14.GS_20141128013358_EV,test,earthquake
DAWY.CN_20180610164702_EV,test,earthquake
W35A.OK_20150116035828_EV,test,earthquake
NIKH.AK_20101112094122_EV,test,earthquake
B081.PB_20131219200949_EV,test,earthquake
HMT2.CI_20160303165223_EV,test,earthquake
B202.PB_20101028201034_EV,test,earthquake
PACP.BK_20120706005642_EV,test,earthquake
B916.PB_20150311114425_EV,test,earthquake
B093.PB_20110727152152_EV,test,earthquake
B018.PB_20130820172422_EV,test,earthquake
B084.PB_20120815155943_EV,test,earthquake
KNK.AK_20120812153438_EV,test,earthquake
B084.PB_20160229231530_EV,test,earthquake
B918.PB_20180724023758_EV,test,earthquake
VAK.BK_20160508114954_EV,test,earthquake
KLU.AK_20180317211722_EV,test,earthquake
LHV.NN_20170106115544_EV,test,earthquake
B093.PB_20130226182249_EV,test,earthquake
SAOF.FR_20131014162652_EV,test,earthquake
BAR.CI_20130103093627_EV,test,earthquake
BPAW.AK_20120608121817_EV,test,earthquake
SLB.CI_20171002054546_EV,test,earthquake
MDM.AK_20150202223540_EV,test,earthquake
B916.PB_20130428044320_EV,test,earthquake
ARG.HL_20040905075056_EV,test,earthquake
TUL1.TA_20150330060626_EV,test,earthquake
KCC.BK_20070825160615_EV,test,earthquake
B082.PB_20070902180633_EV,test,earthquake
BEK.NN_20160919204346_EV,test,earthquake
SLR.CI_20121117174607_EV,test,earthquake
LHV.NN_20170207025422_EV,test,earthquake
COA.CI_20150521002459_EV,test,earthquake
AKUT.AT_20120216032327_EV,test,earthquake
B081.PB_20130330023010_EV,test,earthquake
SGR.SN_20170208013933_EV,test,earthquake
RSDD.HV_20180607232345_EV,test,earthquake
SPCG.AV_20180312203303_EV,test,earthquake
MOKD.HV_20170831083944_EV,test,earthquake
JRC2.CI_20131103211336_EV,test,earthquake
BOBN.AF_20141015131505_EV,test,earthquake
B086.PB_20150628215644_EV,test,earthquake
B087.PB_20160209201724_EV,test,earthquake
B087.PB_20171108125548_EV,test,earthquake
ALEP.HV_20150501212629_EV,test,earthquake
B065.PB_20171023033243_EV,test,earthquake
FRD.AZ_20130517154523_EV,test,earthquake
B086.PB_20150811094601_EV,test,earthquake
B087.PB_20131120095440_EV,test,earthquake
WCN.NN_20080707120535_EV,test,earthquake
B087.PB_20070713010758_EV,test,earthquake
WVA.NN_20140422070714_EV,test,earthquake
GRNC.AK_20171001223245_EV,test,earthquake
TVH2.NN_20110829232037_EV,test,earthquake
GDXB.NC_20170107160611_EV,test,earthquake
KAN16.GS_20160715144039_EV,test,earthquake
I20K.TA_20170905192110_EV,test,earthquake
B201.PB_20150226062053_EV,test,earthquake
HUMP.PR_20170509020816_EV,test,earthquake
B047.PB_20141104024436_EV,test,earthquake
B084.PB_20120323033754_EV,test,earthquake
B084.PB_20110530232121_EV,test,earthquake
B093.PB_20120916102124_EV,test,earthquake
ID05.GS_20171015180933_EV,test,earthquake
B087.PB_20130518182451_EV,test,earthquake
B047.PB_20120521065803_EV,test,earthquake
AHUD.HV_20180720161415_EV,test,earthquake
BZN.AZ_20120525233209_EV,test,earthquake
B084.PB_20150220083256_EV,test,earthquake
SLIT.GE_20090518010623_EV,test,earthquake
TRO.AZ_20141108033606_EV,test,earthquake
HEL.SN_20171202112859_EV,test,earthquake
GDXB.NC_20121027155432_EV,test,earthquake
GLA.CI_20120406052501_EV,test,earthquake
CCB.AK_20120320014521_EV,test,earthquake
B082.PB_20170930052738_EV,test,earthquake
GDXB.NC_20140227154100_EV,test,earthquake
EFP.HP_20090310152240_EV,test,earthquake
BACM.NM_20151125084152_EV,test,earthquake
GDXB.NC_20060528091200_EV,test,earthquake
ANCK.AV_20180405081629_EV,test,earthquake
B081.PB_20150518101101_EV,test,earthquake
MONP2.AZ_20100405194239_EV,test,earthquake
GDXB.NC_20110408074633_EV,test,earthquake
B082.PB_20101130054408_EV,test,earthquake
MOD.BK_20140819013659_EV,test,earthquake
DNR.CI_20140121013317_EV,test,earthquake
UNV.AK_20171227025512_EV,test,earthquake
PAH.NN_20080428052139_EV,test,earthquake
B087.PB_20171023055250_EV,test,earthquake
BEL.CI_20131216224926_EV,test,earthquake
GDXB.NC_20060910144615_EV,test,earthquake
B084.PB_20171023080917_EV,test,earthquake
B084.PB_20070817114919_EV,test,earthquake
B081.PB_20140501115137_EV,test,earthquake
MK31.IM_20100220074935_EV,test,earthquake
FNO.OK_20150419052723_EV,test,earthquake
BJOB.NC_20120405121633_EV,test,earthquake
B207.PB_20170616232824_EV,test,earthquake
RKY.KO_20070407085516_EV,test,earthquake
P19K.TA_20180721154925_EV,test,earthquake
MOKD.HV_20170409081117_EV,test,earthquake
CWC.CI_20180103065202_EV,test,earthquake
B078.PB_20141015061544_EV,test,earthquake
ORV.BK_20130719215652_EV,test,earthquake
NCT.AV_20160313122714_EV,test,earthquake
AFD.NC_20140802232210_EV,test,earthquake
CNCH.SV_20140306175307_EV,test,earthquake
LHV.NN_20171022170718_EV,test,earthquake
SAOF.FR_20130827221541_EV,test,earthquake
B084.PB_20070605085120_EV,test,earthquake
PMR.AT_20110924171803_EV,test,earthquake
B087.PB_20121228043925_EV,test,earthquake
GDXB.NC_20140128081750_EV,test,earthquake
B081.PB_20120804150258_EV,test,earthquake
NCT.AV_20180326012518_EV,test,earthquake
B916.PB_20120810071310_EV,test,earthquake
B081.PB_20121103215741_EV,test,earthquake
ALN.HT_20080511004909_EV,test,earthquake
KAN14.GS_20150118101724_EV,test,earthquake
P19K.TA_20170726082914_EV,test,earthquake
KAN10.GS_20150407212122_EV,test,earthquake
B082.PB_20101027184650_EV,test,earthquake
B081.PB_20130401000140_EV,test,earthquake
GO01.C_20130607223543_EV,test,earthquake
B087.PB_20120808173640_EV,test,earthquake
VCN.NN_20140130151520_EV,test,earthquake
B084.PB_20170129061849_EV,test,earthquake
RXH.CI_20160729185830_EV,test,earthquake
BC3.CI_20160926154244_EV,test,earthquake
B076.PB_20120712051549_EV,test,earthquake
WRH.AK_20110720130332_EV,test,earthquake
GC02.OK_20150422120313_EV,test,earthquake
ALEP.HV_20161128003927_EV,test,earthquake
KTH.AK_20120812140105_EV,test,earthquake
MT02.GS_20171014042115_EV,test,earthquake
GHO.AK_20120726065438_EV,test,earthquake
MONP2.AZ_20100519143928_EV,test,earthquake
B067.PB_20170723103714_EV,test,earthquake
B082.PB_20070603002133_EV,test,earthquake
MCAR.AK_20161124000847_EV,test,earthquake
B950.PB_20170706053759_EV,test,earthquake
SPCN.AV_20150129013035_EV,test,earthquake
B093.PB_20121122094234_EV,test,earthquake
B918.PB_20121213195018_EV,test,earthquake
NV31.IM_20160620082102_EV,test,earthquake
DIB.CN_20130315010416_EV,test,earthquake
B084.PB_20180624075743_EV,test,earthquake
B005.PB_20150306150816_EV,test,earthquake
JRC2.CI_20130728173145_EV,test,earthquake
YFT.SN_20160606164122_EV,test,earthquake
SIGR.HT_20080604185125_EV,test,earthquake
BTW.SN_20151021235038_EV,test,earthquake
N13A.TA_20080222161148_EV,test,earthquake
BLC.CI_20150706151701_EV,test,earthquake
YER.NN_20170603121753_EV,test,earthquake
NJQ.CI_20141205041051_EV,test,earthquake
GDXB.NC_20160624171013_EV,test,earthquake
OBSR.CC_20101119185104_EV,test,earthquake
LAKA.HA_20090427201023_EV,test,earthquake
PWL.AK_20170831113516_EV,test,earthquake
KLU.AK_20180406005158_EV,test,earthquake
SHP.NN_20160303112719_EV,test,earthquake
CMMT.TM_20110814083400_EV,test,earthquake
WPVZ.NZ_20100415131131_EV,test,earthquake
PAH.NN_20130812214511_EV,test,earthquake
GDXB.NC_20101106144845_EV,test,earthquake
GDXB.NC_20130611081403_EV,test,earthquake
GHO.AK_20170319061807_EV,test,earthquake
B086.PB_20150505141102_EV,test,earthquake
IDI.MN_20050614162735_EV,test,earthquake
B082.PB_20140116192158_EV,test,earthquake
AKUT.AT_20131028113240_EV,test,earthquake
N20K.TA_20171024102400_EV,test,earthquake
B067.PB_20160608140443_EV,test,earthquake
LHV.NN_20170414071441_EV,test,earthquake
B082.PB_20171210001059_EV,test,earthquake
KAN01.GS_20151012134814_EV,test,earthquake
CRY.AZ_20140515232534_EV,test,earthquake
B082.PB_20110420233922_EV,test,earthquake
GDXB.NC_20110515025634_EV,test,earthquake
B081.PB_20101122071410_EV,test,earthquake
CHUM.AK_20180424162147_EV,test,earthquake
EML.CI_20180422002426_EV,test,earthquake
O14K.TA_20180403140429_EV,test,earthquake
KTH.AK_20180328033511_EV,test,earthquake
KNK.AK_20171021072335_EV,test,earthquake
MSW.AV_20170603025513_EV,test,earthquake
KLU.AK_20170604184235_EV,test,earthquake
ID05.GS_20170913103421_EV,test,earthquake
B087.PB_20111215214625_EV,test,earthquake
BDM.BK_20130516024841_EV,test,earthquake
GDXB.NC_20160229235528_EV,test,earthquake
BOR.CI_20161026072554_EV,test,earthquake
NV31.IM_20120120120059_EV,test,earthquake
COLR.NN_20150101113335_EV,test,earthquake
CVRU.UU_20141214193244_EV,test,earthquake
B082.PB_20160907125310_EV,test,earthquake
SGR.SN_20170726052809_EV,test,earthquake
SPCR.AV_20121207102606_EV,test,earthquake
CLC.CI_20121206021344_EV,test,earthquake
GO02.C_20150112195216_EV,test,earthquake
MNAT.AV_20140730213726_EV,test,earthquake
B078.PB_20161031182605_EV,test,earthquake
BJOB.NC_20130522091659_EV,test,earthquake
BRU2.PA_20131011161122_EV,test,earthquake
BOR.CI_20160613104146_EV,test,earthquake
SAOF.FR_20010127212159_EV,test,earthquake
SKN.AK_20180407083845_EV,test,earthquake
PRN.NN_20140203054526_EV,test,earthquake
MESA.AK_20180219062022_EV,test,earthquake
AIND.HV_20150821200630_EV,test,earthquake
TBLG.GO_20130327212533_EV,test,earthquake
LUC2.CI_20160318071743_EV,test,earthquake
BRLK.AK_20170522185418_EV,test,earthquake
BWN.AK_20170507144638_EV,test,earthquake
B918.PB_20121123171550_EV,test,earthquake
TRF.AK_20180206205427_EV,test,earthquake
B207.PB_20180210190539_EV,test,earthquake
B084.PB_20151109144432_EV,test,earthquake
CWC.CI_20160207124352_EV,test,earthquake
BPAW.AK_20120607080412_EV,test,earthquake
TYM.SN_20160530083425_EV,test,earthquake
MCK.AK_20180426183020_EV,test,earthquake
EFP.HP_20120528154414_EV,test,earthquake
SSN.AK_20171029180920_EV,test,earthquake
B084.PB_20150120204355_EV,test,earthquake
B084.PB_20180622055319_EV,test,earthquake
CTC.CI_20160308022354_EV,test,earthquake
MOD.BK_20150128233433_EV,test,earthquake
SKN.AK_20120705022227_EV,test,earthquake
LEC.SN_20130324045845_EV,test,earthquake
OMMB.NN_20130718143654_EV,test,earthquake
WAT6.AK_20140725032240_EV,test,earthquake
B916.PB_20171206041931_EV,test,earthquake
B087.PB_20160117051803_EV,test,earthquake
CHUM.AK_20121102150154_EV,test,earthquake
GDXB.NC_20140327051247_EV,test,earthquake
KVN.NN_20180320073229_EV,test,earthquake
N13A.TA_20080225190141_EV,test,earthquake
GDXB.NC_20130418112051_EV,test,earthquake
B082.PB_20130910142516_EV,test,earthquake
GDXB.NC_20160618023315_EV,test,earthquake
I07A.TA_20080509001916_EV,test,earthquake
WVA.NN_20140119120410_EV,test,earthquake
VCN.NN_20120927045926_EV,test,earthquake
OK032.GS_20151103052508_EV,test,earthquake
UWE.HV_20180618204445_EV,test,earthquake
DNR.CI_20130821023517_EV,test,earthquake
SII.AK_20141119013115_EV,test,earthquake
B087.PB_20121008193445_EV,test,earthquake
GDXB.NC_20160127035748_EV,test,earthquake
